,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1694563202.500000,00:00:02.500000,,419307.05165711,619124.28389889,2.20330902
1694563215.000000,00:00:15.000000,1,419333.80709306,619130.26757532,2.19828252
1694563224.500000,00:00:24.500000,2,419354.21999398,619134.77422577,2.19882715
1694563233.500000,00:00:33.500000,2,419373.58751145,619139.02156884,2.20405838
1694563243.500000,00:00:43.500000,3,419395.08907930,619143.45342165,2.19653077
1694563253.500000,00:00:53.500000,4,419416.67563668,619147.86420733,2.20546184
1694563263.000000,00:01:03.000000,5,419437.10115663,619152.14660460,2.20095008
1694563273.000000,00:01:13.000000,6,419458.71860734,619156.45931107,2.20271522
1694563283.500000,00:01:23.500000,7,419481.42411843,619160.95844704,2.20638144
1694563292.500000,00:01:32.500000,8,419500.91034165,619164.74025136,2.20301994
1694563302.500000,00:01:42.500000,9,419522.57264558,619168.99746114,2.20926567
1694563315.000000,00:01:55.000000,11,419549.52794686,619174.35247022,2.19832535
1694563324.500000,00:02:04.500000,12,419570.13666001,619178.14309436,2.20517393
1694563333.500000,00:02:13.500000,12,419589.71564904,619181.58786899,2.21487334
1694563343.500000,00:02:23.500000,13,419611.36590234,619185.45791155,2.20585966
1694563352.500000,00:02:32.500000,14,419630.87650338,619188.74385434,2.19890427
1694563362.500000,00:02:42.500000,15,419652.65461389,619192.28598481,2.20327518
1694563375.000000,00:02:55.000000,17,419679.97151414,619196.55503208,2.21708932
1694563384.500000,00:03:04.500000,18,419700.75010339,619199.64197689,2.20894873
1694563394.500000,00:03:14.500000,19,419722.64156190,619202.81630784,2.21598870
1694563404.000000,00:03:24.000000,20,419743.47440458,619205.55226775,2.21469649
1694563414.000000,00:03:34.000000,21,419765.33145262,619208.56347938,2.21030240
1694563424.000000,00:03:44.000000,22,419787.22307516,619211.03259488,2.20632364
1694563434.000000,00:03:54.000000,23,419808.99119688,619213.95830794,2.19124318
1694563443.500000,00:04:03.500000,23,419829.95466353,619216.12707277,2.21401978
1694563455.500000,00:04:15.500000,25,419856.18175818,619219.31676908,2.20327989
1694563462.000000,00:04:22.000000,25,419870.27421881,619220.75405284,2.19035613
1694563475.500000,00:04:35.500000,27,419899.01703764,619224.02565022,2.15410095
1694563484.500000,00:04:44.500000,27,419918.16209150,619226.32483598,2.14724093
1694563494.000000,00:04:54.000000,28,419938.63502813,619228.44863482,2.16186196
1694563503.500000,00:05:03.500000,29,419959.10117651,619230.67424460,2.16706921
1694563515.500000,00:05:15.500000,31,419984.99993826,619233.35352035,2.16924027
1694563525.000000,00:05:25.000000,32,420005.54005171,619235.26045009,2.16909226
1694563534.000000,00:05:34.000000,32,420024.96416403,619237.03176161,2.17020514
1694563544.000000,00:05:44.000000,33,420046.51145865,619238.88085814,2.16120564
1694563554.000000,00:05:54.000000,34,420068.11877562,619240.68713983,2.16739752
1694563563.500000,00:06:03.500000,35,420088.62448622,619242.30098172,2.16761616
1694563575.500000,00:06:15.500000,37,420114.48326994,619244.24593421,2.16169243
1694563585.500000,00:06:25.500000,38,420135.89618040,619245.58038577,2.15228694
1694563595.500000,00:06:35.500000,39,420156.85377623,619246.81284591,2.10888709
1694563605.000000,00:06:45.000000,40,420176.49650328,619248.13089018,2.08444981
1694563615.000000,00:06:55.000000,41,420197.38562529,619249.13074576,2.09701915
1694563624.500000,00:07:04.500000,41,420217.18336432,619250.23612296,2.08856927
1694563634.500000,00:07:14.500000,42,420238.17696326,619250.97291761,2.09851334
1694563644.000000,00:07:24.000000,43,420258.13335555,619251.71992927,2.10686970
1694563654.000000,00:07:34.000000,44,420279.11549704,619252.18156712,2.10060924
1694563664.000000,00:07:44.000000,45,420299.81389754,619252.87043958,2.07628023
1694563673.000000,00:07:53.000000,46,420318.42148917,619253.30063116,2.07032138
1694563683.000000,00:08:03.000000,47,420339.19912474,619253.73681303,2.08299576
1694563695.500000,00:08:15.500000,49,420365.04143088,619254.18002607,2.06941781
1694563705.000000,00:08:25.000000,50,420384.56353705,619254.50584408,2.05722204
1694563715.000000,00:08:35.000000,51,420405.08348601,619254.74582400,2.05269550
1694563724.500000,00:08:44.500000,51,420424.68986075,619255.16092496,2.06008085
1694563734.000000,00:08:54.000000,52,420444.38313429,619255.28128677,2.07685381
1694563746.500000,00:09:06.500000,54,420470.21574156,619255.46242211,2.07253918
1694563755.500000,00:09:15.500000,55,420488.89075224,619255.58177941,2.07277015
1694563765.500000,00:09:25.500000,56,420509.56080000,619255.54180730,2.06897465
1694563772.500000,00:09:32.500000,56,420524.02465384,619255.59801843,2.06761511
1694563785.000000,00:09:45.000000,58,420549.77640669,619255.38626011,2.06118986
1694563795.000000,00:09:55.000000,59,420570.38004439,619255.15373578,2.06466370
1694563804.000000,00:10:04.000000,59,420588.87463792,619254.89610761,2.05778221
1694563813.500000,00:10:13.500000,60,420608.44833596,619254.65477488,2.06334574
1694563823.500000,00:10:23.500000,61,420628.99943955,619254.24905974,2.05858298
1694563833.500000,00:10:33.500000,62,420649.59442552,619253.61124409,2.06016120
1694563843.500000,00:10:43.500000,63,420669.86198647,619253.03123105,2.03357866
1694563856.000000,00:10:56.000000,65,420695.09523805,619252.14345563,2.02600271
1694563862.500000,00:11:02.500000,65,420708.28800233,619251.53961093,2.03769599
1694563874.500000,00:11:14.500000,66,420732.55135568,619250.54744125,2.03482225
1694563884.000000,00:11:24.000000,67,420751.79197152,619249.65478260,2.03162559
1694563893.500000,00:11:33.500000,68,420771.10811265,619248.56652708,2.03726033
1694563906.000000,00:11:46.000000,70,420796.42841943,619246.96163244,2.03380924
1694563916.000000,00:11:56.000000,71,420816.68919976,619245.84755415,2.02820282
1694563925.500000,00:12:05.500000,72,420835.94751008,619244.68449206,2.03131498
1694563935.500000,00:12:15.500000,73,420856.20715173,619243.27001566,2.03001920
1694563945.500000,00:12:25.500000,74,420876.42071565,619241.81424672,2.02562800
1694563956.000000,00:12:36.000000,75,420897.64016564,619240.16751391,2.02505958
1694563965.500000,00:12:45.500000,76,420916.93004449,619238.56806249,2.04178209
1694563975.000000,00:12:55.000000,77,420936.09247621,619237.21438033,2.02169862
1694563984.500000,00:13:04.500000,77,420955.36892350,619235.54609246,2.03606561
1694563995.000000,00:13:15.000000,79,420976.59803613,619233.93168408,2.03490329
1694564005.000000,00:13:25.000000,80,420996.73159471,619232.08698942,2.02489233
1694564015.000000,00:13:35.000000,81,421016.93349710,619230.04034855,2.02995806
1694564024.500000,00:13:44.500000,81,421036.12041345,619228.30882754,2.02391570
1694564034.000000,00:13:54.000000,82,421055.33375993,619226.32814731,2.03255039
1694564043.500000,00:14:03.500000,83,421074.54291979,619224.32737674,2.03529771
1694564055.500000,00:14:15.500000,85,421098.88416544,619221.90182532,2.04192795
1694564065.500000,00:14:25.500000,86,421119.09610048,619219.62243690,2.03336340
1694564075.000000,00:14:35.000000,87,421138.26345316,619217.39891066,2.03055986
1694564084.500000,00:14:44.500000,87,421157.39717355,619215.01283468,2.03301141
1694564094.000000,00:14:54.000000,88,421176.51170603,619212.58435215,2.02981574
1694564103.500000,00:15:03.500000,89,421195.64749780,619210.00315990,2.03691488
1694564115.500000,00:15:15.500000,91,421219.81111971,619207.08148016,2.02957278
1694564125.500000,00:15:25.500000,92,421239.93435159,619204.18434109,2.03862790
1694564135.000000,00:15:35.000000,93,421259.02354494,619201.65746226,2.03145759
1694564144.500000,00:15:44.500000,93,421278.10885301,619199.06247629,2.02666693
1694564154.000000,00:15:54.000000,94,421297.24444071,619196.17084040,2.03650220
1694564163.500000,00:16:03.500000,95,421316.53457514,619193.44500317,2.04882441
1694564175.500000,00:16:15.500000,97,421341.44978395,619189.65336074,2.09280566
1694564185.000000,00:16:25.000000,98,421361.19273058,619186.38916125,2.10047758
1694564195.000000,00:16:35.000000,99,421381.86528078,619183.28403701,2.08956012
1694564204.500000,00:16:44.500000,99,421401.40045219,619180.13594450,2.07819331
1694564214.000000,00:16:54.000000,100,421420.84559112,619176.94270291,2.07001629
1694564224.000000,00:17:04.000000,101,421441.23116737,619173.34990587,2.06770363
1694564233.500000,00:17:13.500000,102,421460.59663062,619170.13463892,2.06229823
1694564246.000000,00:17:26.000000,104,421486.07104163,619165.61316742,2.07335432
1694564253.000000,00:17:33.000000,104,421500.32505946,619163.01242437,2.06746685
1694564266.500000,00:17:46.500000,106,421527.92595058,619157.93143405,2.07491237
1694564273.000000,00:17:53.000000,106,421541.22531753,619155.42023553,2.07717522
1694564286.000000,00:18:06.000000,108,421567.80323272,619150.35173788,2.07529256
1694564295.500000,00:18:15.500000,109,421587.27196555,619146.64059581,2.08963324
1694564304.500000,00:18:24.500000,109,421605.68680244,619142.92515363,2.09293210
1694564314.000000,00:18:34.000000,110,421625.08109145,619139.13253059,2.08525082
1694564323.500000,00:18:43.500000,111,421644.49864249,619135.30233254,2.08036011
