,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1694822400.561801,00:00:00.561801,,415059.84715256,571906.32332237,2.34705690
1694822407.279801,00:00:07.279801,,415059.99872991,571922.17597397,2.35241483
1694822414.584801,00:00:14.584801,1,415059.92604652,571939.35080155,2.35058176
1694822428.883801,00:00:28.883801,2,415060.00708658,571973.17907532,2.36091673
1694822435.685801,00:00:35.685801,3,415060.14037686,571989.23262795,2.35885664
1694822449.199801,00:00:49.199801,4,415060.14005288,572021.10832985,2.35637855
1694822456.543801,00:00:56.543801,5,415060.24027566,572038.42973526,2.35465122
1694822470.456801,00:01:10.456801,7,415060.45821892,572071.27866944,2.35958658
1694822477.977801,00:01:17.977801,7,415060.42975095,572089.02300652,2.35916561
1694822485.180801,00:01:25.180801,8,415060.36698464,572105.99623497,2.35798494
1694822499.524801,00:01:39.524801,9,415060.22869769,572139.90487297,2.36523888
1694822506.174801,00:01:46.174801,10,415060.12162411,572155.66938313,2.37043914
1694822520.236801,00:02:00.236801,12,415059.86330411,572188.83967121,2.36403947
1694822527.643801,00:02:07.643801,12,415059.93395268,572206.38372524,2.36794977
1694822534.200801,00:02:14.200801,13,415060.06094765,572221.87221916,2.36628947
1694822548.291801,00:02:28.291801,14,415060.00257193,572254.99438484,2.35563521
1694822556.047801,00:02:36.047801,15,415060.15230726,572273.12685974,2.34320874
1694822569.771801,00:02:49.771801,16,415060.28503045,572305.59462555,2.36145043
1694822577.243801,00:02:57.243801,17,415060.12081376,572323.15557678,2.35520231
1694822583.928801,00:03:03.928801,18,415060.20907214,572338.94165238,2.35981433
1694822598.257801,00:03:18.257801,19,415060.22609356,572372.73343865,2.36082730
1694822605.029801,00:03:25.029801,20,415060.24552416,572388.67241780,2.35498605
1694822619.310801,00:03:39.310801,21,415060.26737447,572422.48286931,2.36470283
1694822626.673801,00:03:46.673801,22,415060.15747982,572439.87357251,2.36433709
1694822640.711801,00:04:00.711801,23,415060.26605913,572472.91044919,2.35303027
1694822647.675801,00:04:07.675801,24,415060.23484960,572489.33977810,2.35710384
1694822661.375801,00:04:21.375801,25,415060.19847673,572521.64858166,2.35755855
1694822668.937801,00:04:28.937801,26,415060.16410602,572539.48328702,2.35777955
1694822682.924801,00:04:42.924801,28,415060.10696360,572572.54050747,2.36380236
1694822689.874801,00:04:49.874801,28,415060.02474379,572588.94678227,2.36154075
1694822696.489801,00:04:56.489801,29,415060.15789252,572604.54883401,2.35927861
1694822710.982801,00:05:10.982801,30,415060.41763785,572638.75140969,2.36101768
1694822717.743801,00:05:17.743801,31,415060.47279848,572654.59805314,2.35194294
1694822731.863801,00:05:31.863801,32,415060.74547370,572687.89019791,2.35779010
1694822739.196801,00:05:39.196801,33,415060.97908702,572705.07473389,2.34948638
1694822753.918801,00:05:53.918801,35,415061.61073819,572739.80612198,2.35734189
1694822760.801801,00:06:00.801801,35,415061.74310545,572756.06858841,2.36151565
1694822767.472801,00:06:07.472801,36,415061.85727779,572771.79301659,2.36150713
1694822782.108801,00:06:22.108801,37,415062.46199969,572806.13143365,2.34667411
1694822789.043801,00:06:29.043801,38,415062.80749786,572822.45767037,2.34862924
1694822803.061801,00:06:43.061801,40,415063.71367484,572855.57027879,2.35671022
1694822809.844801,00:06:49.844801,40,415064.06119647,572871.60618463,2.36207412
1694822824.537801,00:07:04.537801,42,415064.54417699,572906.11500802,2.35024810
1694822831.700801,00:07:11.700801,42,415064.87097958,572922.93855348,2.34642276
1694822838.320801,00:07:18.320801,43,415065.17187315,572938.57830873,2.35507510
1694822852.623801,00:07:32.623801,44,415065.37841888,572972.26834169,2.35453715
1694822860.042801,00:07:40.042801,45,415065.34147480,572989.71425309,2.35213270
1694822873.344801,00:07:53.344801,47,415065.64735859,573021.06461587,2.35733079
1694822880.438801,00:08:00.438801,47,415065.65796112,573037.75955453,2.35490583
1694822888.037801,00:08:08.037801,48,415065.74439860,573055.68623033,2.35684460
1694822902.543801,00:08:22.543801,49,415065.95243069,573089.94052568,2.36033978
1694822909.157801,00:08:29.157801,50,415065.97328823,573105.54397740,2.36051824
1694822923.029801,00:08:43.029801,52,415065.99930182,573138.23811498,2.35680840
1694822930.440801,00:08:50.440801,52,415066.16532358,573155.70519033,2.35602187
1694822937.787801,00:08:57.787801,53,415066.21462231,573173.01664891,2.35691492
1694822952.004801,00:09:12.004801,54,415066.50029956,573206.50557103,2.35577108
1694822959.078801,00:09:19.078801,55,415066.67309105,573223.21086660,2.35886587
1694822972.611801,00:09:32.611801,56,415066.68463320,573255.07282033,2.35655639
1694822980.157801,00:09:40.157801,57,415066.82836077,573272.81725469,2.35330589
1694822986.946801,00:09:46.946801,58,415066.92252301,573288.84315648,2.35663946
1694823001.313801,00:10:01.313801,59,415066.98237569,573322.69491054,2.35741102
1694823008.594801,00:10:08.594801,60,415067.09371050,573339.83238460,2.35561285
1694823022.385801,00:10:22.385801,61,415067.26370638,573372.42661525,2.36159174
1694823029.379801,00:10:29.379801,62,415067.32684411,573388.91920138,2.36015723
1694823043.828801,00:10:43.828801,64,415067.49968891,573422.93295337,2.35408540
1694823051.036801,00:10:51.036801,64,415067.46864176,573439.92082835,2.35623190
1694823058.127801,00:10:58.127801,65,415067.43248503,573456.61534930,2.35616163
1694823072.257801,00:11:12.257801,66,415067.58780083,573489.93742801,2.35804144
1694823078.869801,00:11:18.869801,67,415067.61473363,573505.49129916,2.35524329
1694823092.987801,00:11:32.987801,68,415067.53117425,573538.71210910,2.35221641
1694823100.232801,00:11:40.232801,69,415067.42470431,573555.78418590,2.35398889
1694823107.118801,00:11:47.118801,70,415067.25942789,573572.02762462,2.35671849
1694823121.364801,00:12:01.364801,71,415067.16719469,573605.62443400,2.35846283
1694823128.377801,00:12:08.377801,72,415067.03643143,573622.16708613,2.35907271
1694823142.557801,00:12:22.557801,73,415066.71979034,573655.62431575,2.36033207
1694823150.054801,00:12:30.054801,74,415066.63414094,573673.24929477,2.35318251
1694823156.777801,00:12:36.777801,75,415066.57918917,573689.13996745,2.35893387
1694823170.972801,00:12:50.972801,76,415066.46692642,573722.67947246,2.36132338
1694823178.227801,00:12:58.227801,77,415066.44766495,573739.80157710,2.35912129
1694823191.834801,00:13:11.834801,78,415066.29588845,573772.05411006,2.36840959
1694823198.785801,00:13:18.785801,79,415066.27295658,573788.47630932,2.36528786
1694823212.856801,00:13:32.856801,80,415066.41816586,573821.75359967,2.36713633
1694823220.584801,00:13:40.584801,81,415066.33267739,573839.97355320,2.36260213
1694823234.683801,00:13:54.683801,83,415066.16547013,573873.27993824,2.36242785
1694823241.556801,00:14:01.556801,83,415066.04982956,573889.51618817,2.36095737
1694823248.832801,00:14:08.832801,84,415066.00642982,573906.70072605,2.36176961
1694823262.050801,00:14:22.050801,85,415065.88677754,573937.85168125,2.35645607
1694823269.543801,00:14:29.543801,86,415065.81299529,573955.50988629,2.35642842
1694823284.131801,00:14:44.131801,88,415065.65369861,573989.87248471,2.35728582
1694823290.967801,00:14:50.967801,88,415065.63736725,574005.95881893,2.35568746
1694823298.237801,00:14:58.237801,89,415065.67072536,574023.06724789,2.35278747
1694823312.309801,00:15:12.309801,90,415065.48358657,574056.25868084,2.35794911
1694823326.211801,00:15:26.211801,92,415065.21546234,574088.95788815,2.35370030
1694823333.094801,00:15:33.094801,92,415065.04741875,574105.12344792,2.34886002
1694823340.520801,00:15:40.520801,93,415064.88574636,574122.67831471,2.35881947
1694823354.379801,00:15:54.379801,94,415064.85520065,574155.32561161,2.35511563
1694823361.533801,00:16:01.533801,95,415064.81736159,574172.23666241,2.36039198
1694823368.987801,00:16:08.987801,96,415064.70482218,574189.90174725,2.36533459
1694823383.108801,00:16:23.108801,97,415064.53223939,574223.18142941,2.35935373
1694823390.143801,00:16:30.143801,98,415064.48750638,574239.82367375,2.36282225
1694823404.121801,00:16:44.121801,99,415064.34892327,574272.86213235,2.36271557
1694823410.705801,00:16:50.705801,100,415064.27523261,574288.44015817,2.36550346
1694823425.141801,00:17:05.141801,102,415064.25772059,574322.52710656,2.36423927
1694823432.547801,00:17:12.547801,102,415064.15833475,574339.93749551,2.35862781
1694823439.637801,00:17:19.637801,103,415064.04775992,574356.58719758,2.35419299
1694823453.184801,00:17:33.184801,104,415063.83315961,574388.51251725,2.35858626
1694823460.501801,00:17:40.501801,105,415063.89968167,574405.75141649,2.35833483
1694823474.581801,00:17:54.581801,106,415064.21912370,574438.91880159,2.35689404
1694823482.041801,00:18:02.041801,107,415064.32976382,574456.50290994,2.35760753
1694823488.913801,00:18:08.913801,108,415064.27868742,574472.66981248,2.35492598
1694823502.926801,00:18:22.926801,109,415064.12480940,574505.71539430,2.35651703
1694823509.612801,00:18:29.612801,110,415064.09020884,574521.55689553,2.36166325
1694823523.811801,00:18:43.811801,111,415064.24370662,574555.23082666,2.36830760
1694823530.941801,00:18:50.941801,112,415064.23145444,574572.13389901,2.36957438
1694823544.842801,00:19:04.842801,113,415064.17658105,574605.03238610,2.36690291
1694823552.097801,00:19:12.097801,114,415064.22169221,574622.21875123,2.36883489
1694823558.839801,00:19:18.839801,115,415064.29152172,574638.04993943,2.35871960
1694823573.054801,00:19:33.054801,116,415064.31815508,574671.47525148,2.35372749
1694823580.498801,00:19:40.498801,117,415064.44181829,574689.16497735,2.36709746
1694823594.693801,00:19:54.693801,118,415064.71878916,574722.70942239,2.36638723
1694823601.863801,00:20:01.863801,119,415064.77864747,574739.58387017,2.36334617
1694823616.128801,00:20:16.128801,121,415064.63788784,574773.04620384,2.35346682
1694823622.977801,00:20:22.977801,121,415064.56020161,574789.05097603,2.34408232
1694823630.003801,00:20:30.003801,122,415064.63002640,574805.56080651,2.34650131
1694823644.045801,00:20:44.045801,123,415064.77891049,574838.66301369,2.35342865
1694823651.019801,00:20:51.019801,124,415064.77489684,574855.09706902,2.35384282
1694823665.541801,00:21:05.541801,125,415064.86247068,574889.33509850,2.35901078
1694823672.141801,00:21:12.141801,126,415064.91135617,574904.86553883,2.35739285
1694823686.764801,00:21:26.764801,128,415064.86564364,574939.25347828,2.35215882
1694823693.864801,00:21:33.864801,128,415064.88994871,574955.96009945,2.35338616
1694823700.635801,00:21:40.635801,129,415064.87501014,574971.88425183,2.35073040
1694823714.963801,00:21:54.963801,130,415065.01586240,575005.72589230,2.35734236
1694823721.555801,00:22:01.555801,131,415065.06512941,575021.34968876,2.36369730
1694823736.031801,00:22:16.031801,132,415065.23542614,575055.50238346,2.36274591
1694823743.108801,00:22:23.108801,133,415065.31461600,575072.18068432,2.35951189
1694823757.330801,00:22:37.330801,135,415065.42587467,575105.78380703,2.36058502
1694823764.680801,00:22:44.680801,135,415065.54526613,575123.19307255,2.36367062
1694823771.602801,00:22:51.602801,136,415065.53890565,575139.57697987,2.36478176
1694823785.103801,00:23:05.103801,137,415065.52449867,575171.53303456,2.36658152
1694823792.261801,00:23:12.261801,138,415065.52755428,575188.47949909,2.36744345
1694823806.255801,00:23:26.255801,139,415065.59199172,575221.58234766,2.36775701
1694823813.646801,00:23:33.646801,140,415065.57112638,575238.97771051,2.36066474
1694823821.159801,00:23:41.159801,141,415065.47368230,575256.66469553,2.35727559
1694823834.908801,00:23:54.908801,142,415065.40823833,575289.00278452,2.35157390
1694823842.412801,00:24:02.412801,143,415065.50073713,575306.67098787,2.35505341
1694823856.104801,00:24:16.104801,144,415065.64477823,575338.90832308,2.35558684
1694823863.232801,00:24:23.232801,145,415065.57492190,575355.62638643,2.35188179
1694823877.810801,00:24:37.810801,146,415065.62058705,575389.86870363,2.35033079
1694823884.753801,00:24:44.753801,147,415065.72340676,575406.19341448,2.35046144
1694823891.952801,00:24:51.952801,148,415065.75151455,575423.15371492,2.35210151
1694823905.702801,00:25:05.702801,149,415065.86862203,575455.61745241,2.36066809
1694823913.012801,00:25:13.012801,150,415065.83118820,575472.81888941,2.35837410
1694823927.337801,00:25:27.337801,151,415065.84646123,575506.48378351,2.35356805
1694823933.949801,00:25:33.949801,152,415065.82920114,575521.99916723,2.34856584
1694823948.612801,00:25:48.612801,154,415065.86803623,575556.47268560,2.35100417
1694823955.671801,00:25:55.671801,154,415065.85673931,575573.07723120,2.35104728
1694823962.803801,00:26:02.803801,155,415065.87064062,575589.88341215,2.35347558
1694823976.747801,00:26:16.747801,156,415065.72092736,575622.67814711,2.35446107
1694823984.109801,00:26:24.109801,157,415065.64941047,575639.98001554,2.35511873
1694823997.514801,00:26:37.514801,158,415065.42802008,575671.46336821,2.34885617
1694824004.382801,00:26:44.382801,159,415065.30138907,575687.63612976,2.35133291
1694824012.266801,00:26:52.266801,160,415065.16520213,575706.18164863,2.34981195
1694824026.087801,00:27:06.087801,161,415065.09717132,575738.77365531,2.35518833
1694824033.177801,00:27:13.177801,162,415065.16870878,575755.52713050,2.35707553
1694824047.355801,00:27:27.355801,163,415064.84573731,575788.94557991,2.35464435
1694824053.951801,00:27:33.951801,164,415064.81680013,575804.50743522,2.35630103
1694824068.111801,00:27:48.111801,166,415064.67065631,575838.01556053,2.36397356
1694824075.674801,00:27:55.674801,166,415064.67990016,575855.91414680,2.36408887
1694824082.826801,00:28:02.826801,167,415064.58485793,575872.81318130,2.36305823
1694824096.799801,00:28:16.799801,168,415064.52433614,575905.85610809,2.36576516
1694824103.686801,00:28:23.686801,169,415064.46580094,575922.18141975,2.36813875
1694824117.871801,00:28:37.871801,170,415064.28689839,575955.68884697,2.36376796
1694824125.232801,00:28:45.232801,171,415064.30300542,575973.09656181,2.36405597
1694824139.015801,00:28:59.015801,173,415064.10171497,576005.79345741,2.37026735
1694824145.845801,00:29:05.845801,173,415064.06577760,576021.98310508,2.36968467
1694824153.181801,00:29:13.181801,174,415064.20576424,576039.32625808,2.36881698
1694824167.216801,00:29:27.216801,175,415064.24092534,576072.40689697,2.36180108
1694824174.132801,00:29:34.132801,176,415064.27586993,576088.64379348,2.35510040
1694824188.707801,00:29:48.707801,178,415064.30958560,576123.01294174,2.36156962
1694824195.455801,00:29:55.455801,178,415064.28816719,576138.91131248,2.35978163
1694824202.686801,00:30:02.686801,179,415064.27223793,576155.98504301,2.36001279
1694824216.974801,00:30:16.974801,180,415064.21062575,576189.78825804,2.36239940
1694824223.615801,00:30:23.615801,181,415064.30931896,576205.51615187,2.36390148
1694824238.067801,00:30:38.067801,183,415064.30487071,576239.72975584,2.36607447
1694824245.175801,00:30:45.175801,183,415064.30180033,576256.46603437,2.35999811
1694824252.005801,00:30:52.005801,184,415064.23555677,576272.53259512,2.35626581
1694824266.266801,00:31:06.266801,185,415064.23313112,576306.11783835,2.35435464
1694824272.923801,00:31:12.923801,186,415064.32981593,576321.82015463,2.35641724
1694824287.381801,00:31:27.381801,187,415064.60866028,576355.92122503,2.35949907
1694824294.240801,00:31:34.240801,188,415064.68423121,576372.13539549,2.36307931
1694824308.602801,00:31:48.602801,189,415064.72660503,576406.05655333,2.36315777
1694824315.534801,00:31:55.534801,190,415064.74244870,576422.45849844,2.36288516
1694824329.939801,00:32:09.939801,192,415064.71869014,576456.53957602,2.36498735
1694824336.616801,00:32:16.616801,192,415064.74632298,576472.31374975,2.36407829
1694824344.117801,00:32:24.117801,193,415064.85022805,576490.08044478,2.36722657
1694824358.050801,00:32:38.050801,194,415064.86934624,576522.99765822,2.36472835
1694824364.778801,00:32:44.778801,195,415064.82859915,576538.87117907,2.36246222
1694824379.314801,00:32:59.314801,197,415064.82690954,576573.06560274,2.35050846
1694824386.488801,00:33:06.488801,197,415064.82094225,576589.97801729,2.35231456
1694824393.176801,00:33:13.176801,198,415064.80227386,576605.73583551,2.35389616
1694824407.316801,00:33:27.316801,199,415064.66613287,576639.07895261,2.35552172
1694824414.187801,00:33:34.187801,200,415064.62669159,576655.24661237,2.35394031
1694824428.840801,00:33:48.840801,201,415064.34416170,576689.69675427,2.35213761
1694824435.586801,00:33:55.586801,202,415064.37115609,576705.53613740,2.35025956
1694824442.441801,00:34:02.441801,203,415064.36678752,576721.68721658,2.35406468
1694824457.154801,00:34:17.154801,204,415064.43513450,576756.36201745,2.35673092
1694824463.807801,00:34:23.807801,205,415064.48071466,576772.08821469,2.36056608
1694824478.054801,00:34:38.054801,206,415064.66337966,576805.76702863,2.36277336
1694824484.634801,00:34:44.634801,207,415064.72107272,576821.30280381,2.36093065
1694824499.020801,00:34:59.020801,209,415064.81060320,576855.34548646,2.36484987
1694824505.964801,00:35:05.964801,209,415064.87800675,576871.75909119,2.36302388
1694824513.160801,00:35:13.160801,210,415064.92592037,576888.81229096,2.36600588
1694824527.560801,00:35:27.560801,211,415065.15091416,576922.95008546,2.37007205
1694824534.509801,00:35:34.509801,212,415065.18596561,576939.42050248,2.37028388
1694824548.542801,00:35:48.542801,213,415065.23534182,576972.57534486,2.36577907
1694824555.661801,00:35:55.661801,214,415065.31570047,576989.31849557,2.35840934
1694824563.072801,00:36:03.072801,215,415065.38119297,577006.69155579,2.35197445
1694824577.036801,00:36:17.036801,216,415065.37694522,577039.42730790,2.34634670
1694824584.255801,00:36:24.255801,217,415065.44510802,577056.37645417,2.34742335
1694824598.113801,00:36:38.113801,218,415065.63674471,577088.87398606,2.34694035
1694824604.923801,00:36:44.923801,219,415065.77931274,577104.86017757,2.34848046
1694824619.113801,00:36:59.113801,221,415065.89898207,577138.26558070,2.35269862
1694824625.996801,00:37:05.996801,221,415065.93373556,577154.49121051,2.35548538
1694824633.785801,00:37:13.785801,222,415065.92079087,577172.85107951,2.35663095
1694824648.065801,00:37:28.065801,223,415065.92924861,577206.52738719,2.35426578
1694824655.164801,00:37:35.164801,224,415065.97701494,577223.32829814,2.35868883
1694824668.520801,00:37:48.520801,225,415065.99553860,577254.99868541,2.36693516
1694824675.980801,00:37:55.980801,226,415065.82146073,577272.65134196,2.36716839
1694824683.171801,00:38:03.171801,227,415065.76267515,577289.63470416,2.36321014
1694824697.200801,00:38:17.200801,228,415065.74597638,577322.86797290,2.36536832
1694824704.092801,00:38:24.092801,229,415065.72381110,577339.22379451,2.36969844
1694824718.358801,00:38:38.358801,230,415065.75266536,577373.06240611,2.36971227
1694824725.414801,00:38:45.414801,231,415065.77053488,577389.83472209,2.37419419
1694824739.289801,00:38:59.289801,232,415065.59991499,577422.63263087,2.36696935
1694824746.038801,00:39:06.038801,233,415065.63277522,577438.57158332,2.36500580
1694824760.089801,00:39:20.089801,234,415065.59500492,577471.71473746,2.36107542
1694824767.061801,00:39:27.061801,235,415065.55204278,577488.15974860,2.36093341
1694824774.760801,00:39:34.760801,236,415065.50495572,577506.32167869,2.36049352
1694824788.599801,00:39:48.599801,237,415065.48790281,577539.05056052,2.36594362
1694824795.477801,00:39:55.477801,238,415065.52779693,577555.31444411,2.36467688
1694824809.982801,00:40:09.982801,239,415065.44305281,577589.58846115,2.36143128
1694824817.042801,00:40:17.042801,240,415065.32652064,577606.32402443,2.36744621
1694824831.285801,00:40:31.285801,242,415065.19567528,577639.84610008,2.35513828
1694824838.447801,00:40:38.447801,242,415065.22150174,577656.76988243,2.36017583
1694824845.110801,00:40:45.110801,243,415065.23090595,577672.42851757,2.35384970
1694824859.458801,00:40:59.458801,244,415065.25058100,577706.28117107,2.36052571
1694824866.662801,00:41:06.662801,245,415065.14163662,577723.29829525,2.36229815
1694824880.620801,00:41:20.620801,246,415064.89309766,577755.97886776,2.34856353
1694824887.970801,00:41:27.970801,247,415064.69907165,577773.16782116,2.34417598
1694824901.832801,00:41:41.832801,249,415064.22798128,577805.64281963,2.34318260
1694824909.006801,00:41:49.006801,249,415063.96622563,577822.45450329,2.34384555
1694824916.046801,00:41:56.046801,250,415063.79436097,577838.95265697,2.34477487
1694824930.071801,00:42:10.071801,251,415063.41096632,577871.93636821,2.35210226
1694824937.569801,00:42:17.569801,252,415063.12992031,577889.57102703,2.35383991
1694824944.270801,00:42:24.270801,253,415062.86012948,577905.27371143,2.34889900
1694824958.470801,00:42:38.470801,254,415062.14884628,577938.66915058,2.35017056
1694824965.270801,00:42:45.270801,255,415061.96983592,577954.69479679,2.35176208
1694824979.878801,00:42:59.878801,256,415061.44325594,577989.21593784,2.36064488
1694824987.261801,00:43:07.261801,257,415061.34864073,578006.61567043,2.35695450
1694825000.982801,00:43:20.982801,258,415061.25447410,578039.01262401,2.35858317
1694825008.454801,00:43:28.454801,259,415061.13006676,578056.72364330,2.36367734
1694825022.126801,00:43:42.126801,261,415060.84480691,578089.06003475,2.36371271
1694825029.299801,00:43:49.299801,261,415060.78336149,578106.00150013,2.36122080
1694825036.002801,00:43:56.002801,262,415060.66831882,578121.84067535,2.36231710
1694825050.716801,00:44:10.716801,263,415060.33401693,578156.47695923,2.35540578
1694825057.358801,00:44:17.358801,264,415060.25433552,578172.08259106,2.35234478
1694825071.660801,00:44:31.660801,266,415060.12666085,578205.78427410,2.35641473
1694825078.999801,00:44:38.999801,266,415059.98200274,578223.06005955,2.35378296
1694825085.575801,00:44:45.575801,267,415059.93241610,578238.53747749,2.35364041
1694825099.696801,00:44:59.696801,268,415059.55272160,578271.80925560,2.35479702
1694825107.278801,00:45:07.278801,269,415059.31202880,578289.62183189,2.35269038
1694825121.676801,00:45:21.676801,271,415058.78452858,578323.43749046,2.35104337
1694825128.700801,00:45:28.700801,271,415058.24469045,578339.88827705,2.34749505
1694825135.403801,00:45:35.403801,272,415057.67842612,578355.58429718,2.34418497
1694825150.025801,00:45:50.025801,273,415056.31497929,578389.87033462,2.34604751
1694825157.080801,00:45:57.080801,274,415055.61615136,578406.36240959,2.34165084
1694825171.228801,00:46:11.228801,276,415054.04709581,578439.55951118,2.34463622
1694825178.468801,00:46:18.468801,276,415053.33757088,578456.58433533,2.34842145
1694825185.319801,00:46:25.319801,277,415052.44669041,578472.59649086,2.34353129
1694825199.804801,00:46:39.804801,278,415050.56212112,578506.63037681,2.35178198
1694825206.401801,00:46:46.401801,279,415049.75481319,578522.22313883,2.35874772
1694825220.667801,00:47:00.667801,280,415047.99180138,578555.81831172,2.35867953
1694825228.039801,00:47:08.039801,281,415047.05856180,578573.16401103,2.35657178
1694825234.744801,00:47:14.744801,282,415046.23628610,578589.06450560,2.36573905
1694825248.975801,00:47:28.975801,283,415044.50247234,578622.79751875,2.37212598
1694825255.811801,00:47:35.811801,284,415043.72634595,578638.97324851,2.37192071
1694825270.035801,00:47:50.035801,285,415042.31892806,578672.56020834,2.36538109
1694825277.218801,00:47:57.218801,286,415041.70020842,578689.56372550,2.36603540
1694825290.717801,00:48:10.717801,287,415040.75933712,578721.46420767,2.36529560
1694825297.764801,00:48:17.764801,288,415040.38696754,578738.08193114,2.36130356
1694825304.961801,00:48:24.961801,289,415040.10674080,578755.07198241,2.36022762
1694825319.727801,00:48:39.727801,290,415039.56659487,578790.03787901,2.36513503
1694825326.549801,00:48:46.549801,291,415039.30730509,578806.13919165,2.36231424
1694825340.888801,00:49:00.888801,292,415038.88941478,578840.04958823,2.36320361
1694825347.528801,00:49:07.528801,293,415038.73484225,578855.81131651,2.36780040
1694825361.599801,00:49:21.599801,295,415037.99828835,578889.13437178,2.36938557
1694825368.939801,00:49:28.939801,295,415037.67442126,578906.52039816,2.37020607
1694825376.016801,00:49:36.016801,296,415037.47680941,578923.28085616,2.36823772
1694825389.987801,00:49:49.987801,297,415037.21079963,578956.38923171,2.37141131
1694825397.169801,00:49:57.169801,298,415037.08646919,578973.33394911,2.36543097
1694825410.927801,00:50:10.927801,299,415036.68632908,579005.75941508,2.35903420
1694825418.220801,00:50:18.220801,300,415036.47101746,579022.97220843,2.36092490
1694825432.296801,00:50:32.296801,302,415036.36169495,579056.07520526,2.35599637
1694825439.245801,00:50:39.245801,302,415036.27556112,579072.40462916,2.35363779
1694825445.945801,00:50:45.945801,303,415036.18331756,579088.19886439,2.35678679
1694825460.918801,00:51:00.918801,304,415036.23273272,579123.48803752,2.35716638
1694825467.925801,00:51:07.925801,305,415036.18605802,579139.96712916,2.35398951
1694825474.944801,00:51:14.944801,306,415036.14746149,579156.49355548,2.35343679
1694825489.188801,00:51:29.188801,307,415036.14090276,579189.98216479,2.35150804
1694825496.147801,00:51:36.147801,308,415036.28288544,579206.27555125,2.34632819
1694825510.056801,00:51:50.056801,309,415036.33208861,579238.90498012,2.34729459
1694825517.366801,00:51:57.366801,310,415036.30190932,579256.02009814,2.34420900
1694825531.310801,00:52:11.310801,312,415036.29797025,579288.76649325,2.34540619
1694825538.419801,00:52:18.419801,312,415036.27003068,579305.52948993,2.35113712
1694825545.544801,00:52:25.544801,313,415036.19448429,579322.32377093,2.35220566
1694825559.932801,00:52:39.932801,314,415036.46235668,579356.30426257,2.36081468
1694825566.849801,00:52:46.849801,315,415036.52605760,579372.61509936,2.35993028
1694825580.805801,00:53:00.805801,316,415036.73469110,579405.47079700,2.35689004
1694825588.015801,00:53:08.015801,317,415036.90031895,579422.49473231,2.35890629
1694825602.241801,00:53:22.241801,319,415037.17498559,579455.99966853,2.35532082
1694825609.047801,00:53:29.047801,319,415037.20176772,579472.04382160,2.35770542
1694825616.681801,00:53:36.681801,320,415037.37770207,579490.02375630,2.35501661
1694825630.848801,00:53:50.848801,321,415037.82807786,579523.43419865,2.35722450
1694825637.583801,00:53:57.583801,322,415037.93205272,579539.28804806,2.35571856
1694825651.554801,00:54:11.554801,323,415038.14390992,579572.22028759,2.35638552
1694825658.530801,00:54:18.530801,324,415038.25259424,579588.69840077,2.35833879
1694825673.102801,00:54:33.102801,326,415038.45255701,579623.06384495,2.35949967
1694825680.225801,00:54:40.225801,326,415038.62161643,579639.81272534,2.35371538
1694825687.377801,00:54:47.377801,327,415038.72986372,579656.74313000,2.36093354
1694825701.500801,00:55:01.500801,328,415038.96231740,579690.01319149,2.35798408
1694825708.361801,00:55:08.361801,329,415039.19118227,579706.17602947,2.35777750
1694825722.719801,00:55:22.719801,331,415039.70256229,579740.03961972,2.35938970
1694825729.749801,00:55:29.749801,331,415039.93842624,579756.66479328,2.36088880
1694825743.027801,00:55:43.027801,333,415040.42710828,579788.03760365,2.36201614
1694825750.756801,00:55:50.756801,333,415040.58919752,579806.28732899,2.36052344
1694825757.750801,00:55:57.750801,334,415040.70266628,579822.82935169,2.36155342
1694825771.779801,00:56:11.779801,335,415041.22937405,579856.02295140,2.36478548
1694825779.148801,00:56:19.148801,336,415041.44890801,579873.39152363,2.36044323
1694825786.077801,00:56:26.077801,337,415041.64012536,579889.74125317,2.36073143
1694825800.032801,00:56:40.032801,338,415042.10923284,579922.77722958,2.36818127
1694825806.737801,00:56:46.737801,339,415042.26379249,579938.59982732,2.36522306
1694825821.360801,00:57:01.360801,340,415042.66311646,579973.06710484,2.35786681
1694825828.189801,00:57:08.189801,341,415042.81470028,579989.18343594,2.35865034
1694825842.303801,00:57:22.303801,342,415042.87440498,580022.43184903,2.35707558
1694825849.807801,00:57:29.807801,343,415042.88125409,580040.10595181,2.35688744
1694825863.344801,00:57:43.344801,345,415043.12698255,580071.98468259,2.35065458
1694825870.658801,00:57:50.658801,345,415043.35396230,580089.33497098,2.36407407
1694825878.010801,00:57:58.010801,346,415043.50754573,580106.73023084,2.36621492
1694825891.573801,00:58:11.573801,347,415043.63442313,580138.85872128,2.36884087
1694825899.074801,00:58:19.074801,348,415043.69197119,580156.50686124,2.35880744
1694825913.281801,00:58:33.281801,350,415043.58403367,580190.07335904,2.36254746
1694825920.184801,00:58:40.184801,350,415043.55262028,580206.27765324,2.35421223
1694825933.861801,00:58:53.861801,352,415043.41823672,580238.44929555,2.34969609
1694825940.876801,00:59:00.876801,352,415043.49319425,580255.06555417,2.35925283
1694825948.210801,00:59:08.210801,353,415043.44655050,580272.37703374,2.35998647
1694825962.448801,00:59:22.448801,354,415043.40119397,580305.97451451,2.36177116
