,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1694846162.500000,06:36:02.500000,,418551.84817215,624145.67339791,2.19766794
1694846172.500000,06:36:12.500000,1,418572.35754296,624153.81536664,2.21279693
1694846182.500000,06:36:22.500000,2,418592.90500160,624161.66728009,2.20606346
1694846192.000000,06:36:32.000000,3,418612.43606659,624169.20312442,2.20239836
1694846201.500000,06:36:41.500000,3,418632.07893845,624176.60341968,2.20389673
1694846211.000000,06:36:51.000000,4,418651.88258263,624183.83760156,2.21168848
1694846221.000000,06:37:01.000000,5,418672.77587601,624191.37660541,2.21603706
1694846231.000000,06:37:11.000000,6,418693.69582077,624198.90953387,2.22225587
1694846241.000000,06:37:21.000000,7,418714.66550156,624206.39155568,2.22615283
1694846251.500000,06:37:31.500000,8,418736.68834969,624214.23932494,2.22586515
1694846261.500000,06:37:41.500000,9,418757.65984818,624221.60986747,2.22265140
1694846271.500000,06:37:51.500000,10,418778.63930794,624228.95346393,2.22179546
1694846280.500000,06:38:00.500000,11,418797.52841469,624235.56630792,2.23037029
1694846290.000000,06:38:10.000000,12,418817.47270294,624242.25885428,2.21577891
1694846299.500000,06:38:19.500000,13,418837.32118698,624249.07574071,2.20815309
1694846312.500000,06:38:32.500000,15,418864.77505776,624258.01317586,2.22171184
1694846321.500000,06:38:41.500000,15,418883.67466446,624264.26533736,2.21476043
1694846331.500000,06:38:51.500000,16,418904.78219696,624271.00236501,2.21311836
1694846341.000000,06:39:01.000000,17,418924.89791390,624277.36202134,2.22693061
1694846351.500000,06:39:11.500000,18,418947.06803223,624284.27979745,2.21516339
1694846361.500000,06:39:21.500000,19,418968.30079799,624290.78941713,2.22168012
1694846374.000000,06:39:34.000000,21,418994.97839312,624298.74696813,2.23138986
1694846383.500000,06:39:43.500000,22,419015.07438044,624304.90257726,2.21596685
1694846393.000000,06:39:53.000000,23,419035.46272044,624310.67473493,2.23074592
1694846402.500000,06:40:02.500000,23,419055.74580531,624316.46362148,2.22400001
1694846412.500000,06:40:12.500000,24,419077.04516749,624322.63178335,2.22417254
1694846422.500000,06:40:22.500000,25,419098.42076449,624328.47434412,2.22300427
1694846432.000000,06:40:32.000000,26,419118.76125102,624333.96353183,2.21704018
1694846442.000000,06:40:42.000000,27,419140.05991321,624339.94520174,2.21178897
1694846451.000000,06:40:51.000000,28,419159.50935321,624344.87666021,2.23019717
1694846464.000000,06:41:04.000000,30,419187.43783908,624352.01679597,2.22420909
1694846473.500000,06:41:13.500000,31,419207.79660945,624357.34520565,2.21567394
1694846483.500000,06:41:23.500000,32,419229.29565959,624362.57092605,2.21532581
1694846492.500000,06:41:32.500000,32,419248.64864116,624367.28094802,2.21428122
1694846504.500000,06:41:44.500000,34,419274.41666942,624373.54908977,2.21445388
1694846511.000000,06:41:51.000000,34,419288.39344745,624376.91925631,2.21336166
1694846523.500000,06:42:03.500000,36,419315.14512401,624383.39802561,2.20097729
1694846532.500000,06:42:12.500000,36,419334.52558856,624387.91875086,2.21295684
1694846542.500000,06:42:22.500000,37,419356.00459056,624392.80700503,2.20651164
1694846552.500000,06:42:32.500000,38,419377.58318477,624397.71348057,2.21165822
1694846564.500000,06:42:44.500000,40,419403.46317066,624403.50451941,2.21174016
1694846571.000000,06:42:51.000000,40,419417.49252285,624406.69559497,2.21395400
1694846583.500000,06:43:03.500000,42,419444.61694301,624412.47559041,2.22126460
1694846593.000000,06:43:13.000000,43,419465.17036975,624416.74067563,2.21246376
1694846602.500000,06:43:22.500000,43,419485.83498729,624420.91259832,2.21914928
